time,值
0.0,3.9251036524042373
0.001,4.554810168371724
0.002,4.911706524151912
0.003,5.408822497146666
0.004,5.094634740921724
0.005,4.376106385134948
0.006,4.925534174439678
0.007,4.363588849487708
0.008,4.104194601367337
0.009,4.592085372033252
0.01,4.613505707213551
0.011,4.3726768393516755
0.012,3.5406842068700524
0.013,2.814985426585604
0.014,2.5475796715019574
0.015,2.4640157179005238
0.016,2.264893668850064
0.017,3.5183025565351835
0.018,3.5266008391079753
0.019,4.173688610044839
0.02,4.588750812538324
0.021,4.15193991916095
0.022,4.3823757131245475
0.023,3.8209978533003657
0.024,4.826330712268452
0.025,4.8249372329727365
0.026,5.020006465072234
0.027,5.2577499715910285
0.028,4.7541962605639885
0.029,4.291755391377382
0.03,3.4063567515849664
0.031,3.3330392665155504
0.032,3.0589695935126247
0.033,3.0227014430716466
0.034,3.0307780587485715
0.035,3.546696811324874
0.036,3.592487608529394
0.037,2.8200853802320656
0.038,3.0776876778784192
0.039,3.3647039669359344
0.04,3.4848510192440734
0.041,3.624538384383633
0.042,4.346395937769431
0.043,4.902498003651642
0.044,5.165402225633684
0.045,5.188852221232569
0.046,4.475055974743658
0.047,4.410418197235883
0.048,4.223844748970061
0.049,3.690108845375172
0.05,3.7483316441120706
0.051,4.0154896454849585
0.052,3.5405447177196567
0.053,3.3009335359101986
0.054,2.7820415924079236
0.055,2.4231003415223777
0.056,2.2937487060132065
0.057,2.174157740235149
0.058,3.3530057323877296
0.059,3.5530002118470128
0.06,4.37020593552608
0.061,4.672583514032273
0.062,4.566957585315259
0.063,4.291599929889396
0.064,4.326535465606339
0.065,4.484230087636133
0.066,4.5266369606539065
0.067,5.093904430593392
0.068,4.804257000391354
0.069,4.453636111813653
0.07,3.777890221578204
0.071,3.4669921723396024
0.072,3.054423904361694
0.073,2.660401922944583
0.074,2.3439811278227047
0.075,2.7384147431886476
0.076,2.919421608594484
0.077,3.507847712315296
0.078,3.440998590301157
0.079,3.3062509725240448
0.08,3.4857606465791107
0.081,3.4649695155294014
0.082,4.085269666459654
0.083,4.425855040137183
0.084,4.751495977669012
0.085,5.400242663206978
0.086,4.893878897911109
0.087,4.728867276621391
0.088,4.095053281803439
0.089,3.4828462195064893
0.09,2.935168213631941
0.091,3.0108619750535786
0.092,2.902811366334311
0.093,3.371800846312894
0.094,3.2088948417814867
0.095,3.084467819877407
0.096,2.853026086030464
0.097,2.513151042012052
0.098,2.550016705298456
0.099,2.826765298303351
0.1,3.9279336955290685
0.101,4.213234123590638
0.102,4.631702646048498
0.103,4.572738470166918
0.104,4.67894325981333
0.105,4.562352082915605
0.106,4.241728151514157
0.107,4.030836067628382
0.108,4.090583242995342
0.109,4.301471606342094
0.11,3.9973869018269377
0.111,4.2470588484606875
0.112,3.1430220310789876
0.113,2.708699352442447
0.114,2.080580893203907
0.115,2.191387367827253
0.116,2.613725847746853
0.117,2.7636853380062663
0.118,3.2759936079647063
0.119,4.060459981785433
0.12,4.003271482768757
0.121,3.696258090318969
0.122,4.061590992553243
0.123,3.6776530719831015
0.124,4.312299082127586
0.125,4.720817721840784
0.126,4.863460505715427
0.127,4.6057011032789665
0.128,4.587210952564345
0.129,3.6556929926139734
0.13,3.1732353929591417
0.131,2.662963716358496
0.132,2.358217140206513
0.133,2.719943547770452
0.134,2.5521600291998787
0.135,3.345140793358455
0.136,2.87425448184952
0.137,2.8834798434223963
0.138,2.9435177541267423
